order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,customer_unique_id,customer_state,customer_city,product_category_name_english,product_weight_g,product_length_cm,product_height_cm,product_width_cm,seller_zip_code_prefix,seller_city,seller_state,payment_value,payment_installments,payment_type,review_score,revenue,total_cost,delivery_days,estimated_days,is_late,days_early_late,purchase_year,purchase_month,purchase_month_name,purchase_quarter,purchase_day_of_week,purchase_year_month,month_order,day_of_week_name,day_of_week_order
e481f51cbdc54678b7cc49136f2d6af7,9ef432eb6251297304e76186b10a928d,delivered,2017-10-02 10:56:33,2017-10-02 11:07:15,2017-10-04 19:55:00,2017-10-10 21:25:13,2017-10-18,1,87285b34884572647811a353c7ac498a,3504c0cb71d7fa48d967e0e4c94d59d9,2017-10-06 11:07:15,29.99,8.72,7c396fd4830fd04220f754e42b4e5bff,SP,sao paulo,housewares,500.0,19.0,8.0,13.0,9350,maua,SP,38.71,1.0,voucher,4.0,29.99,38.71,8.0,15,0,7.0,2017,10,Oct,4,0,2017-10,10,Monday,0
53cdb2fc8bc7dce0b6741e2150273451,b0830fb4747a6c6d20dea0b8c802d7ef,delivered,2018-07-24 20:41:37,2018-07-26 03:24:27,2018-07-26 14:31:00,2018-08-07 15:27:45,2018-08-13,1,595fac2a385ac33a80bd5114aec74eb8,289cdb325fb7e7f891c38608bf9e0962,2018-07-30 03:24:27,118.7,22.76,af07308b275d755c9edb36a90c618231,BA,barreiras,perfumery,400.0,19.0,13.0,19.0,31570,belo horizonte,SP,141.46,1.0,boleto,4.0,118.7,141.46,13.0,19,0,6.0,2018,7,Jul,3,1,2018-07,7,Tuesday,1
47770eb9100c2d0c44946d9cf07ec65d,41ce2a54c0b03bf3443c3d931a367089,delivered,2018-08-08 08:38:49,2018-08-08 08:55:23,2018-08-08 13:50:00,2018-08-17 18:06:29,2018-09-04,1,aa4383b373c6aca5d8797843e5594415,4869f7a5dfa277a7dca6462dcf3b52b2,2018-08-13 08:55:23,159.9,19.22,3a653a41f6f9fc3d2a113cf8398680e8,GO,vianopolis,auto,420.0,24.0,19.0,21.0,14840,guariba,SP,179.12,3.0,credit_card,5.0,159.9,179.12,9.0,26,0,17.0,2018,8,Aug,3,2,2018-08,8,Wednesday,2
949d5b44dbf5de918fe9c16f97b45f8a,f88197465ea7920adcdbec7375364d82,delivered,2017-11-18 19:28:06,2017-11-18 19:45:59,2017-11-22 13:39:59,2017-12-02 00:28:42,2017-12-15,1,d0b61bfb1de832b15ba9d266ca96e5b0,66922902710d126a0e7d26b0e3805106,2017-11-23 19:45:59,45.0,27.2,7c142cf63193a1473d2e66489a9ae977,RN,sao goncalo do amarante,pet_shop,450.0,30.0,10.0,20.0,31842,belo horizonte,MG,72.2,1.0,credit_card,5.0,45.0,72.2,13.0,26,0,13.0,2017,11,Nov,4,5,2017-11,11,Saturday,5
ad21c59c0840e6cb83a9ceb5573f8159,8ab97904e6daea8866dbdbc4fb7aad2c,delivered,2018-02-13 21:18:39,2018-02-13 22:20:29,2018-02-14 19:46:34,2018-02-16 18:17:02,2018-02-26,1,65266b2da20d04dbe00c5c2d3bb7859e,2c9e548be18521d1c43cde1c582c6de8,2018-02-19 20:31:37,19.9,8.72,72632f0f9dd73dfee390c9b22eb56dd6,SP,santo andre,stationery,250.0,51.0,15.0,15.0,8752,mogi das cruzes,SP,28.62,1.0,credit_card,5.0,19.9,28.62,2.0,12,0,10.0,2018,2,Feb,1,1,2018-02,2,Tuesday,1
a4591c265e18cb1dcee52889e2d8acc3,503740e9ca751ccdda7ba28e9ab8f608,delivered,2017-07-09 21:57:05,2017-07-09 22:10:13,2017-07-11 14:58:04,2017-07-26 10:57:55,2017-08-01,1,060cb19345d90064d1015407193c233d,8581055ce74af1daba164fdbd55a40de,2017-07-13 22:10:13,147.9,27.36,80bb27c7c16e8f973207a5086ab329e2,PR,congonhinhas,auto,7150.0,65.0,10.0,65.0,7112,guarulhos,SP,175.26,6.0,credit_card,4.0,147.9,175.26,16.0,22,0,6.0,2017,7,Jul,3,6,2017-07,7,Sunday,6
6514b8ad8028c9f2cc2374ded245783f,9bdf08b4b3b52b5526ff42d37d47f222,delivered,2017-05-16 13:10:30,2017-05-16 13:22:11,2017-05-22 10:07:46,2017-05-26 12:55:51,2017-06-07,1,4520766ec412348b8d4caa5e8a18c464,16090f2ca825584b5a147ab24aa30c86,2017-05-22 13:22:11,59.99,15.17,932afa1e708222e5821dac9cd5db4cae,RJ,nilopolis,auto,50.0,16.0,16.0,17.0,12940,atibaia,SP,75.16,3.0,credit_card,5.0,59.99,75.16,9.0,21,0,12.0,2017,5,May,2,1,2017-05,5,Tuesday,1
76c6e866289321a7c93b82b54852dc33,f54a9f0e6b351c431402b8461ea51999,delivered,2017-01-23 18:29:09,2017-01-25 02:50:47,2017-01-26 14:16:31,2017-02-02 14:08:10,2017-03-06,1,ac1789e492dcd698c5c10b97a671243a,63b9ae557efed31d1f7687917d248a8d,2017-01-27 18:29:09,19.9,16.05,39382392765b6dc74812866ee5ee92a7,RS,faxinalzinho,furniture_decor,300.0,35.0,35.0,15.0,13720,sao jose do rio pardo,SP,35.95,1.0,boleto,1.0,19.9,35.95,9.0,41,0,32.0,2017,1,Jan,1,0,2017-01,1,Monday,0
e69bfb5eb88e0ed6a785585b27e16dbf,31ad1d1b63eb9962463f764d4e6e0c9d,delivered,2017-07-29 11:55:02,2017-07-29 12:05:32,2017-08-10 19:45:24,2017-08-16 17:14:30,2017-08-23,1,9a78fb9862b10749a117f7fc3c31f051,7c67e1448b00f6e969d365cea6b010ab,2017-08-11 12:05:32,149.99,19.77,299905e3934e9e181bfb2e164dd4b4f8,SP,sorocaba,office_furniture,9750.0,42.0,41.0,42.0,8577,itaquaquecetuba,SP,169.76,1.0,credit_card,5.0,149.99,169.76000000000002,18.0,24,0,6.0,2017,7,Jul,3,5,2017-07,7,Saturday,5
e6ce16cb79ec1d90b1da9085a6118aeb,494dded5b201313c64ed7f100595b95c,delivered,2017-05-16 19:41:10,2017-05-16 19:50:18,2017-05-18 11:40:40,2017-05-29 11:18:31,2017-06-07,1,08574b074924071f4e201e151b152b4e,001cca7ae9ae17fb1caed9dfb1094831,2017-05-22 19:50:18,99.0,30.53,f2a85dec752b8517b5e58a06ff3cd937,RJ,rio de janeiro,garden_tools,9000.0,42.0,12.0,39.0,29156,cariacica,ES,259.06,1.0,credit_card,1.0,99.0,129.53,12.0,21,0,9.0,2017,5,May,2,1,2017-05,5,Tuesday,1
e6ce16cb79ec1d90b1da9085a6118aeb,494dded5b201313c64ed7f100595b95c,delivered,2017-05-16 19:41:10,2017-05-16 19:50:18,2017-05-18 11:40:40,2017-05-29 11:18:31,2017-06-07,2,08574b074924071f4e201e151b152b4e,001cca7ae9ae17fb1caed9dfb1094831,2017-05-22 19:50:18,99.0,30.53,f2a85dec752b8517b5e58a06ff3cd937,RJ,rio de janeiro,garden_tools,9000.0,42.0,12.0,39.0,29156,cariacica,ES,259.06,1.0,credit_card,1.0,99.0,129.53,12.0,21,0,9.0,2017,5,May,2,1,2017-05,5,Tuesday,1
34513ce0c4fab462a55830c0989c7edb,7711cf624183d843aafe81855097bc37,delivered,2017-07-13 19:58:11,2017-07-13 20:10:08,2017-07-14 18:43:29,2017-07-19 14:04:48,2017-08-08,1,f7e0fa615b386bc9a8b9eb52bc1fff76,87142160b41353c4e5fca2360caf6f92,2017-07-19 20:10:08,98.0,16.13,782987b81c92239d922aa49d6bd4200b,SP,sao paulo,computers_accessories,325.0,21.0,21.0,21.0,90230,porto alegre,RS,114.13,1.0,credit_card,4.0,98.0,114.13,5.0,25,0,20.0,2017,7,Jul,3,3,2017-07,7,Thursday,3
82566a660a982b15fb86e904c8d32918,d3e3b74c766bc6214e0c830b17ee2341,delivered,2018-06-07 10:06:19,2018-06-09 03:13:12,2018-06-11 13:29:00,2018-06-19 12:05:52,2018-07-18,1,72a97c271b2e429974398f46b93ae530,094ced053e257ae8cae57205592d6712,2018-06-18 03:13:12,31.9,18.23,e97109680b052ee858d93a539597bba7,MG,ouro preto,perfumery,450.0,16.0,17.0,16.0,14095,ribeirao preto,SP,50.13,1.0,boleto,5.0,31.9,50.13,12.0,40,0,28.0,2018,6,Jun,2,3,2018-06,6,Thursday,3
5ff96c15d0b717ac6ad1f3d77225a350,19402a48fe860416adf93348aba37740,delivered,2018-07-25 17:44:10,2018-07-25 17:55:14,2018-07-26 13:16:00,2018-07-30 15:52:25,2018-08-08,1,10adb53d8faa890ca7c2f0cbcb68d777,1900267e848ceeba8fa32d80c1a5f5a8,2018-07-27 17:55:14,19.9,12.8,e2dfa3127fedbbca9707b36304996dab,SP,sao paulo,bed_bath_table,200.0,16.0,10.0,16.0,14940,ibitinga,SP,32.7,3.0,credit_card,5.0,19.9,32.7,4.0,13,0,9.0,2018,7,Jul,3,2,2018-07,7,Wednesday,2
432aaf21d85167c2c86ec9448c4e42cc,3df704f53d3f1d4818840b34ec672a9f,delivered,2018-03-01 14:14:28,2018-03-01 15:10:47,2018-03-02 21:09:20,2018-03-12 23:36:26,2018-03-21,1,72d3bf1d3a790f8874096fcf860e3eff,0bae85eb84b9fb3bd773911e89288d54,2018-03-07 15:10:47,38.25,16.11,04cf8185c71090d28baa4407b2e6d600,SP,sao paulo,toys,583.0,20.0,21.0,20.0,88301,itajai,SP,54.36,1.0,credit_card,4.0,38.25,54.36,11.0,19,0,8.0,2018,3,Mar,1,3,2018-03,3,Thursday,3
dcb36b511fcac050b97cd5c05de84dc3,3b6828a50ffe546942b7a473d70ac0fc,delivered,2018-06-07 19:03:12,2018-06-12 23:31:02,2018-06-11 14:54:00,2018-06-21 15:34:32,2018-07-04,1,009c09f439988bc06a93d6b8186dce73,89a51f50b8095ea78d5768f34c13a76f,2018-06-18 18:59:02,132.4,14.05,ccafc1c3f270410521c3c6f3b249870f,GO,goiania,perfumery,150.0,20.0,20.0,20.0,71931,brasilia,DF,146.45,10.0,credit_card,5.0,132.4,146.45000000000002,13.0,26,0,13.0,2018,6,Jun,2,3,2018-06,6,Thursday,3
403b97836b0c04a622354cf531062e5f,738b086814c6fcc74b8cc583f8516ee3,delivered,2018-01-02 19:00:43,2018-01-02 19:09:04,2018-01-03 18:19:09,2018-01-20 01:38:59,2018-02-06,1,638bbb2a5e4f360b71f332ddfebfd672,c4af86330efa7a2620772227d2d670c9,2018-01-12 19:09:04,1299.0,77.45,6e26bbeaa107ec34112c64e1ee31c0f5,RJ,rio de janeiro,construction_tools_construction,20850.0,100.0,25.0,50.0,8840,mogi das cruzes,SP,1376.45,10.0,credit_card,,1299.0,1376.45,17.0,34,0,17.0,2018,1,Jan,1,1,2018-01,1,Tuesday,1
116f0b09343b49556bbad5f35bee0cdf,3187789bec990987628d7a9beb4dd6ac,delivered,2017-12-26 23:41:31,2017-12-26 23:50:22,2017-12-28 18:33:05,2018-01-08 22:36:36,2018-01-29,1,a47295965bd091207681b541b26e40a5,ea8482cd71df3c1969d7b9473ff13abc,2018-01-02 23:50:22,27.99,15.1,6087cfc70fd833cf2db637a5e6e9d76b,SC,imbituba,telephony,300.0,17.0,4.0,12.0,4160,sao paulo,SP,43.09,4.0,credit_card,5.0,27.99,43.09,12.0,33,0,21.0,2017,12,Dec,4,1,2017-12,12,Tuesday,1
85ce859fd6dc634de8d2f1e290444043,059f7fc5719c7da6cbafe370971a8d70,delivered,2017-11-21 00:03:41,2017-11-21 00:14:22,2017-11-23 21:32:26,2017-11-27 18:28:00,2017-12-11,1,cce679660c66e6fbd5c8091dfd29e9cd,d2374cbcbb3ca4ab1086534108cc3ab7,2017-11-29 00:14:22,17.9,11.85,d0ff1a7468fcc46b8fc658ab35d2a12c,SP,hortolandia,bed_bath_table,250.0,40.0,4.0,30.0,14940,ibitinga,SP,29.75,1.0,credit_card,5.0,17.9,29.75,6.0,19,0,13.0,2017,11,Nov,4,1,2017-11,11,Tuesday,1
83018ec114eee8641c97e08f7b4e926f,7f8c8b9c2ae27bf3300f670c3d478be8,delivered,2017-10-26 15:54:26,2017-10-26 16:08:14,2017-10-26 21:46:53,2017-11-08 22:22:00,2017-11-23,1,c35498fbb4358837ae16850f50c3fd22,70a12e78e608ac31179aea7f8422044b,2017-11-01 16:07:35,76.0,16.97,634f09f6075fe9032e6c19609ffe995a,BA,feira de santana,telephony,325.0,19.0,8.0,22.0,12327,jacarei,SP,92.97,1.0,voucher,4.0,76.0,92.97,13.0,27,0,14.0,2017,10,Oct,4,3,2017-10,10,Thursday,3
203096f03d82e0dffbc41ebc2e2bcfb7,d2b091571da224a1b36412c18bc3bbfe,delivered,2017-09-18 14:31:30,2017-09-19 04:04:09,2017-10-06 17:50:03,2017-10-09 22:23:46,2017-09-28,1,5ac9d9e379c606e36a8094a6046f75dc,633ecdf879b94b5337cca303328e4a25,2017-09-25 04:04:09,109.9,8.96,d699688533772c15a061e8ce81cb56df,SP,sao paulo,health_beauty,525.0,21.0,16.0,13.0,4438,sao paulo,SP,118.86,1.0,boleto,2.0,109.9,118.86,21.0,9,1,-12.0,2017,9,Sep,3,0,2017-09,9,Monday,0
